rr_ms,time_s,hr_bpm,subject_id
618.5567010309278,0.0,97.0,WIMU_10_Pepe
618.5567010309278,0.007,97.0,WIMU_10_Pepe
618.5567010309278,0.048,97.0,WIMU_10_Pepe
621.6564819357304,0.285,96.51632653,WIMU_10_Pepe
621.9589591391432,0.308,96.46938776,WIMU_10_Pepe
622.2090538082432,0.327,96.43061224,WIMU_10_Pepe
623.528663245443,0.427,96.22653061,WIMU_10_Pepe
624.0713224553958,0.468,96.14285714,WIMU_10_Pepe
624.4557252355019,0.497,96.08367347,WIMU_10_Pepe
625.0,0.538,96.0,WIMU_10_Pepe
625.0,0.608,96.0,WIMU_10_Pepe
625.0,0.678,96.0,WIMU_10_Pepe
625.0,0.777,96.0,WIMU_10_Pepe
625.0,0.798,96.0,WIMU_10_Pepe
625.0,0.817,96.0,WIMU_10_Pepe
625.0,0.858,96.0,WIMU_10_Pepe
625.0,0.917,96.0,WIMU_10_Pepe
625.0,0.928,96.0,WIMU_10_Pepe
625.0,0.958,96.0,WIMU_10_Pepe
625.0,0.997,96.0,WIMU_10_Pepe
625.0,1.269,96.0,WIMU_10_Pepe
625.0,1.278,96.0,WIMU_10_Pepe
624.4689889748662,1.298,96.08163265,WIMU_10_Pepe
623.1454005657354,1.348,96.28571429,WIMU_10_Pepe
621.3017751571199,1.418,96.57142857,WIMU_10_Pepe
619.4951325669622,1.487,96.85306122,WIMU_10_Pepe
617.6730114723679,1.557,97.13877551,WIMU_10_Pepe
615.0884973983599,1.657,97.54693878,WIMU_10_Pepe
612.3979337032326,1.762,97.9755102,WIMU_10_Pepe
612.2448979591836,1.768,98.0,WIMU_10_Pepe
612.0760959285005,1.788,98.02702703,WIMU_10_Pepe
611.9158202459217,1.807,98.0527027,WIMU_10_Pepe
611.6544978933686,1.838,98.09459459,WIMU_10_Pepe
611.0652353376461,1.908,98.18918919,WIMU_10_Pepe
610.4855009844612,1.977,98.28243243,WIMU_10_Pepe
608.9783154075802,2.157,98.52567568,WIMU_10_Pepe
608.7194954607116,2.188,98.56756757,WIMU_10_Pepe
608.1608612756115,2.255,98.65810811,WIMU_10_Pepe
607.9693276685639,2.278,98.68918919,WIMU_10_Pepe
607.5533661541033,2.328,98.75675676,WIMU_10_Pepe
606.8890104180537,2.408,98.86486486,WIMU_10_Pepe
606.3999781759073,2.467,98.94459459,WIMU_10_Pepe
606.060606060606,2.508,99.0,WIMU_10_Pepe
606.060606060606,2.547,99.0,WIMU_10_Pepe
606.060606060606,2.647,99.0,WIMU_10_Pepe
606.060606060606,2.648,99.0,WIMU_10_Pepe
606.060606060606,2.688,99.0,WIMU_10_Pepe
606.060606060606,2.747,99.0,WIMU_10_Pepe
606.060606060606,2.768,99.0,WIMU_10_Pepe
606.060606060606,2.828,99.0,WIMU_10_Pepe
606.060606060606,2.967,99.0,WIMU_10_Pepe
606.060606060606,3.037,99.0,WIMU_10_Pepe
606.060606060606,3.137,99.0,WIMU_10_Pepe
606.060606060606,3.148,99.0,WIMU_10_Pepe
606.060606060606,3.239,99.0,WIMU_10_Pepe
606.060606060606,3.248,99.0,WIMU_10_Pepe
604.5949214026602,3.268,99.24,WIMU_10_Pepe
593.8242280285035,3.418,101.04,WIMU_10_Pepe
591.0864168341412,3.457,101.508,WIMU_10_Pepe
588.2352941176471,3.498,102.0,WIMU_10_Pepe
588.2352941176471,3.527,102.0,WIMU_10_Pepe
588.2352941176471,3.568,102.0,WIMU_10_Pepe
588.2352941176471,3.627,102.0,WIMU_10_Pepe
588.2352941176471,3.732,102.0,WIMU_10_Pepe
588.2352941176471,3.758,102.0,WIMU_10_Pepe
588.2352941176471,3.808,102.0,WIMU_10_Pepe
588.2352941176471,3.918,102.0,WIMU_10_Pepe
588.2352941176471,3.947,102.0,WIMU_10_Pepe
588.2352941176471,4.027,102.0,WIMU_10_Pepe
588.2352941176471,4.127,102.0,WIMU_10_Pepe
588.2352941176471,4.128,102.0,WIMU_10_Pepe
588.2352941176471,4.225,102.0,WIMU_10_Pepe
588.2352941176471,4.238,102.0,WIMU_10_Pepe
588.1563047259224,4.248,102.0136986,WIMU_10_Pepe
587.6828123534343,4.308,102.0958904,WIMU_10_Pepe
586.6673812536112,4.437,102.2726027,WIMU_10_Pepe
586.0394170619817,4.517,102.3821918,WIMU_10_Pepe
585.2563501969784,4.617,102.5191781,WIMU_10_Pepe
585.2485304558151,4.618,102.5205479,WIMU_10_Pepe
584.9358972406063,4.658,102.5753425,WIMU_10_Pepe
584.4753732100281,4.717,102.6561644,WIMU_10_Pepe
584.3116329098393,4.738,102.6849315,WIMU_10_Pepe
583.8443081144416,4.798,102.7671233,WIMU_10_Pepe
582.7645394405725,4.937,102.9575342,WIMU_10_Pepe
582.5242718446602,4.968,103.0,WIMU_10_Pepe
582.5242718446602,5.007,103.0,WIMU_10_Pepe
582.5242718446602,5.107,103.0,WIMU_10_Pepe
582.5242718446602,5.118,103.0,WIMU_10_Pepe
582.5242718446602,5.238,103.0,WIMU_10_Pepe
582.5242718446602,5.288,103.0,WIMU_10_Pepe
582.5242718446602,5.398,103.0,WIMU_10_Pepe
582.5242718446602,5.456,103.0,WIMU_10_Pepe
582.5242718446602,5.468,103.0,WIMU_10_Pepe
582.5242718446602,5.497,103.0,WIMU_10_Pepe
582.5242718446602,5.597,103.0,WIMU_10_Pepe
582.5242718446602,5.608,103.0,WIMU_10_Pepe
582.5242718446602,5.638,103.0,WIMU_10_Pepe
582.5242718446602,5.677,103.0,WIMU_10_Pepe
582.5242718446602,5.702,103.0,WIMU_10_Pepe
582.5242718446602,5.728,103.0,WIMU_10_Pepe
582.5242718446602,5.997,103.0,WIMU_10_Pepe
582.5242718446602,6.028,103.0,WIMU_10_Pepe
582.5242718446602,6.097,103.0,WIMU_10_Pepe
582.5242718446602,6.098,103.0,WIMU_10_Pepe
582.5242718446602,6.128,103.0,WIMU_10_Pepe
582.5242718446602,6.167,103.0,WIMU_10_Pepe
582.5242718446602,6.195,103.0,WIMU_10_Pepe
582.5242718446602,6.208,103.0,WIMU_10_Pepe
582.601755615626,6.218,102.9863014,WIMU_10_Pepe
584.0700881847417,6.407,102.7273973,WIMU_10_Pepe
584.6938367954734,6.487,102.6178082,WIMU_10_Pepe
585.4753981047063,6.587,102.4808219,WIMU_10_Pepe
585.483223909625,6.588,102.4794521,WIMU_10_Pepe
586.2590516394521,6.687,102.3438356,WIMU_10_Pepe
586.4238853537004,6.708,102.3150685,WIMU_10_Pepe
586.89535046606,6.768,102.2328767,WIMU_10_Pepe
587.6828123534343,6.868,102.0958904,WIMU_10_Pepe
587.9904952277232,6.907,102.0424658,WIMU_10_Pepe
588.2352941176471,6.938,102.0,WIMU_10_Pepe
588.2352941176471,6.977,102.0,WIMU_10_Pepe
588.2352941176471,7.008,102.0,WIMU_10_Pepe
588.2352941176471,7.077,102.0,WIMU_10_Pepe
588.2352941176471,7.088,102.0,WIMU_10_Pepe
588.2352941176471,7.188,102.0,WIMU_10_Pepe
588.5471900849763,7.208,101.9459459,WIMU_10_Pepe
591.0543131777229,7.368,101.5135135,WIMU_10_Pepe
591.5110177637058,7.397,101.4351351,WIMU_10_Pepe
592.6163212427452,7.467,101.2459459,WIMU_10_Pepe
593.2656335572542,7.508,101.1351351,WIMU_10_Pepe
594.2025104962977,7.567,100.9756757,WIMU_10_Pepe
594.3775103106939,7.578,100.9459459,WIMU_10_Pepe
595.8931686382077,7.673,100.6891892,WIMU_10_Pepe
596.2933119734179,7.698,100.6216216,WIMU_10_Pepe
598.8670082979372,7.858,100.1891892,WIMU_10_Pepe
599.3358711265178,7.887,100.1108108,WIMU_10_Pepe
599.8540896916611,7.919,100.0243243,WIMU_10_Pepe
600.0,7.928,100.0,WIMU_10_Pepe
600.3163829423529,7.967,99.9472973,WIMU_10_Pepe
600.5681049365355,7.998,99.90540541,WIMU_10_Pepe
601.1291480072272,8.067,99.81216216,WIMU_10_Pepe
601.137286763616,8.068,99.81081081,WIMU_10_Pepe
602.1155410821519,8.188,99.64864865,WIMU_10_Pepe
603.6627646320076,8.377,99.39324324,WIMU_10_Pepe
603.9419453839537,8.411,99.3472973,WIMU_10_Pepe
604.5751634184502,8.488,99.24324324,WIMU_10_Pepe
605.1519694615627,8.558,99.14864865,WIMU_10_Pepe
606.060606060606,8.668,99.0,WIMU_10_Pepe
606.060606060606,8.688,99.0,WIMU_10_Pepe
606.060606060606,8.707,99.0,WIMU_10_Pepe
606.060606060606,8.808,99.0,WIMU_10_Pepe
606.060606060606,8.838,99.0,WIMU_10_Pepe
606.060606060606,8.877,99.0,WIMU_10_Pepe
606.060606060606,8.904,99.0,WIMU_10_Pepe
606.060606060606,8.978,99.0,WIMU_10_Pepe
606.060606060606,9.088,99.0,WIMU_10_Pepe
606.060606060606,9.158,99.0,WIMU_10_Pepe
606.3105795221845,9.178,98.95918367,WIMU_10_Pepe
606.5482453625979,9.197,98.92040816,WIMU_10_Pepe
607.8021955341494,9.297,98.71632653,WIMU_10_Pepe
607.814761242018,9.298,98.71428571,WIMU_10_Pepe
608.6830500265098,9.367,98.57346939,WIMU_10_Pepe
609.0487239244076,9.396,98.51428571,WIMU_10_Pepe
610.0850798642418,9.478,98.34693878,WIMU_10_Pepe
610.8329351285433,9.537,98.22653061,WIMU_10_Pepe
611.3537118081907,9.578,98.14285714,WIMU_10_Pepe
612.2448979591836,9.648,98.0,WIMU_10_Pepe
612.2448979591836,9.668,98.0,WIMU_10_Pepe
612.2448979591836,9.687,98.0,WIMU_10_Pepe
612.2448979591836,9.798,98.0,WIMU_10_Pepe
612.2448979591836,9.857,98.0,WIMU_10_Pepe
612.2448979591836,9.889,98.0,WIMU_10_Pepe
612.2448979591836,9.968,98.0,WIMU_10_Pepe
612.2448979591836,10.037,98.0,WIMU_10_Pepe
612.2448979591836,10.068,98.0,WIMU_10_Pepe
612.2448979591836,10.135,98.0,WIMU_10_Pepe
612.2448979591836,10.158,98.0,WIMU_10_Pepe
612.2448979591836,10.177,98.0,WIMU_10_Pepe
612.2448979591836,10.288,98.0,WIMU_10_Pepe
612.2448979591836,10.357,98.0,WIMU_10_Pepe
612.2448979591836,10.388,98.0,WIMU_10_Pepe
612.2448979591836,10.458,98.0,WIMU_10_Pepe
612.2448979591836,10.568,98.0,WIMU_10_Pepe
612.2448979591836,10.627,98.0,WIMU_10_Pepe
612.2448979591836,10.658,98.0,WIMU_10_Pepe
612.2448979591836,10.667,98.0,WIMU_10_Pepe
612.2448979591836,10.767,98.0,WIMU_10_Pepe
612.2448979591836,10.778,98.0,WIMU_10_Pepe
